ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,role,tense,voice,mood,frame,subjref,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,referent,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,discontinuous,person,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN,Parent21Name,Parent21Type,Parent21Appos,Parent21Class,Parent21Rule,Parent21Role,Parent21Cltype,Parent21Unit,Parent21Junction,Parent21SN,Parent21WGN,degree
GAL 1:1!1, ,noun,proper,Παῦλος,Παῦλος,3972,singular,masculine,nominative,Paul,093001,93.294a,N-NSM,Παῦλος,n48001001001,101458,w,Παῦλος,Galatians,9,Gal,1,1,6,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!2,",",noun,common,ἀπόστολος,ἀπόστολος,652,singular,masculine,nominative,an apostle,053009,53.74,N-NSM,"ἀπόστολος,",n48001001002,101459,w,ἀπόστολος,Galatians,9,Gal,1,1,7,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!3, ,adv,,οὐ,οὐκ,3756,,,,not,069002,69.3,PRT-N,οὐκ,n48001001003,101460,w,οὐκ,Galatians,9,Gal,1,1,8,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!4, ,prep,,ἀπό,ἀπ’,575,,,,from,090003,90.15,PREP,ἀπ’,n48001001004,101461,w,ἀπ’,Galatians,9,Gal,1,1,10,wg,,,pp,PrepNp,,,,,,8,wg,,,,Conj2Pp,,,,,,7,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!5, ,noun,common,ἄνθρωπος,ἀνθρώπων,444,plural,masculine,genitive,men,009001,9.1,N-GPM,ἀνθρώπων,n48001001005,101462,w,ἀνθρώπων,Galatians,9,Gal,1,1,10,wg,,,pp,PrepNp,,,,,,8,wg,,,,Conj2Pp,,,,,,7,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!6, ,conj,,οὐδέ,οὐδέ,3761,,,,nor,069003,69.7,CONJ-N,οὐδὲ,n48001001006,101463,w,οὐδὲ,Galatians,9,Gal,1,1,10,wg,group,,,,,,,,,9,wg,,,,Conj2Pp,,,,,,7,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!7, ,prep,,διά,δι’,1223,,,,through,090001,90.4,PREP,δι’,n48001001007,101464,w,δι’,Galatians,9,Gal,1,1,11,wg,,,pp,PrepNp,,,,,,10,wg,group,,,,,,,,,9,wg,,,,Conj2Pp,,,,,,7,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!8, ,noun,common,ἄνθρωπος,ἀνθρώπου,444,singular,masculine,genitive,man,009001,9.1,N-GSM,ἀνθρώπου,n48001001008,101465,w,ἀνθρώπου,Galatians,9,Gal,1,1,11,wg,,,pp,PrepNp,,,,,,10,wg,group,,,,,,,,,9,wg,,,,Conj2Pp,,,,,,7,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!9, ,conj,,ἀλλά,ἀλλά,235,,,,but,089023,89.125,CONJ,ἀλλὰ,n48001001009,101466,w,ἀλλὰ,Galatians,9,Gal,1,1,8,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAL 1:1!10, ,prep,,διά,διά,1223,,,,through,090001,90.4,PREP,διὰ,n48001001010,101467,w,διὰ,Galatians,9,Gal,1,1,9,wg,,,pp,PrepNp,,,,,,11,wg,group,,,notPPbutPP,,,,,,6,wg,,,np,NpPp,,,,apposition,,5,wg,apposition,,np,Np-Appos,,,,,,4,wg,,,,NpaNp,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
