ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,referent,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction,role,discontinuous,person,tense,voice,mood,frame,subjref,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN
2TH 1:1!1, ,noun,proper,Παῦλος,Παῦλος,3972,singular,masculine,nominative,Paul,093001,93.294a,N-NSM,Παῦλος,n53001001001,n53001001001,110783,w,Παῦλος,II_Thessalonians,14,2Thess,1,1,5,wg,,,,Conj3Np,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!2, ,conj,,καί,καί,2532,,,,and,,,CONJ,καὶ,,n53001001002,110784,w,καὶ,II_Thessalonians,14,2Thess,1,1,6,wg,group,,,,,,,,,4,wg,,,,Conj3Np,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!3, ,noun,proper,Σιλουανός,Σιλουανός,4610,singular,masculine,nominative,Silvanus,093001,93.340,N-NSM,Σιλουανὸς,,n53001001003,110785,w,Σιλουανὸς,II_Thessalonians,14,2Thess,1,1,6,wg,group,,,,,,,,,4,wg,,,,Conj3Np,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!4, ,conj,,καί,καί,2532,,,,and,,,CONJ,καὶ,,n53001001004,110786,w,καὶ,II_Thessalonians,14,2Thess,1,1,6,wg,group,,,,,,,,,5,wg,,,,Conj3Np,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!5, ,noun,proper,Τιμόθεος,Τιμόθεος,5095,singular,masculine,nominative,Timothy,093001,93.361,N-NSM,Τιμόθεος,,n53001001005,110787,w,Τιμόθεος,II_Thessalonians,14,2Thess,1,1,6,wg,group,,,,,,,,,5,wg,,,,Conj3Np,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!6, ,det,,ὁ,τῇ,3588,singular,feminine,dative,To the,092004,92.24,T-DSF,τῇ,,n53001001006,110788,w,τῇ,II_Thessalonians,14,2Thess,1,1,5,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!7, ,noun,common,ἐκκλησία,ἐκκλησίᾳ,1577,singular,feminine,dative,church,011002,11.32,N-DSF,ἐκκλησίᾳ,,n53001001007,110789,w,ἐκκλησίᾳ,II_Thessalonians,14,2Thess,1,1,7,wg,,,np,NPofNP,,,,,,8,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!8, ,noun,proper,Θεσσαλονικεύς,Θεσσαλονικέων,2331,plural,masculine,genitive,of [the] Thessalonians,093002,93.474,N-GPM,Θεσσαλονικέων,,n53001001008,110790,w,Θεσσαλονικέων,II_Thessalonians,14,2Thess,1,1,7,wg,,,np,NPofNP,,,,,,8,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!9, ,prep,,ἐν,ἐν,1722,,,,in,,,PREP,ἐν,,n53001001009,110791,w,ἐν,II_Thessalonians,14,2Thess,1,1,7,wg,,,pp,PrepNp,,,,,,9,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TH 1:1!10, ,noun,common,θεός,Θεῷ,2316,singular,masculine,dative,God,012001,12.1,N-DSM,Θεῷ,,n53001001010,110792,w,Θεῷ,II_Thessalonians,14,2Thess,1,1,9,wg,apposition,,np,Np-Appos,,,,,,11,wg,,,,NpaNp,,,,,,10,wg,,,pp,PrepNp,,,,,,9,wg,,,np,NpPp,,,,,,7,wg,,,np,DetNP,io,,,,,6,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
