ref,after,class,lemma,normalized,strong,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,role,number,gender,case,tense,voice,mood,frame,subjref,type,discontinuous,degree,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,person,referent,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,junction,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN,Parent21Name,Parent21Type,Parent21Appos,Parent21Class,Parent21Rule,Parent21Role,Parent21Cltype,Parent21Unit,Parent21Junction,Parent21SN,Parent21WGN
HEB 1:1!1, ,adv,πολυμερῶς,Πολυμερῶς,4181,In many portions,063004 067001 089014,63.19 67.11 89.81,ADV,Πολυμερῶς,n58001001001,115423,w,Πολυμερῶς,Hebrews,19,Heb,1,1,6,wg,,,,AdvpaAdvp,adv,,,,,4,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!2, ,conj,καί,καί,2532,and,,,CONJ,καὶ,n58001001002,115424,w,καὶ,Hebrews,19,Heb,1,1,7,wg,group,,,,,,,,,5,wg,,,,AdvpaAdvp,adv,,,,,4,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!3, ,adv,πολυτρόπως,πολυτρόπως,4187,in many ways,058004 089014,58.29 89.82,ADV,πολυτρόπως,n58001001003,115425,w,πολυτρόπως,Hebrews,19,Heb,1,1,7,wg,group,,,,,,,,,5,wg,,,,AdvpaAdvp,adv,,,,,4,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!4, ,adv,πάλαι,πάλαι,3819,long ago,067002,67.24,ADV,πάλαι,n58001001004,115426,w,πάλαι,Hebrews,19,Heb,1,1,5,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!7, ,verb,λαλέω,λαλήσας,2980,having spoken,033006,33.70,V-AAP-NSM,λαλήσας,n58001001007,115427,w,λαλήσας,Hebrews,19,Heb,1,1,5,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,singular,masculine,nominative,aorist,active,participle,A0:n58001001006 A2:n58001001009,n58001001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!8, ,det,ὁ,τοῖς,3588,to the,092004,92.24,T-DPM,τοῖς,n58001001008,115428,w,τοῖς,Hebrews,19,Heb,1,1,6,wg,,,np,DetNP,io,,,,,6,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,plural,masculine,dative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!9, ,noun,πατήρ,πατράσιν,3962,fathers,010002,10.20,N-DPM,πατράσιν,n58001001009,115429,w,πατράσιν,Hebrews,19,Heb,1,1,6,wg,,,np,DetNP,io,,,,,6,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,plural,masculine,dative,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!10, ,prep,ἐν,ἐν,1722,in,083003 090001,83.13 90.6,PREP,ἐν,n58001001010,115430,w,ἐν,Hebrews,19,Heb,1,1,6,wg,,,pp,PrepNp,adv,,,,,7,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!11, ,det,ὁ,τοῖς,3588,the,092004,92.24,T-DPM,τοῖς,n58001001011,115431,w,τοῖς,Hebrews,19,Heb,1,1,7,wg,,,np,DetNP,,,,,,8,wg,,,pp,PrepNp,adv,,,,,7,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,plural,masculine,dative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB 1:1!12, ,noun,προφήτης,προφήταις,4396,prophets,053009,53.79,N-DPM,προφήταις,n58001001012,115432,w,προφήταις,Hebrews,19,Heb,1,1,7,wg,,,np,DetNP,,,,,,8,wg,,,pp,PrepNp,adv,,,,,7,wg,,,cl,ADV-ADV-V-IO-ADV,adv,,,,,3,wg,,,cl,ADV-S-ADV-V-IO-ADV,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,plural,masculine,dative,,,,,,common,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
