role,ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,person,tense,voice,mood,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,frame,subjref,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,referent,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,discontinuous,junction,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,degree
s,1JN 1:1!1, ,pron,relative,ὅς,Ὅ,3739,singular,neuter,nominative,That which,092006,92.27,R-NSN,Ὃ,n62001001001,124891,w,Ὃ,I_John,23,1John,1,1,6,wg,,,cl,S-VC-P,,,,,,4,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vc,1JN 1:1!2, ,verb,,εἰμί,ἦν,1510,singular,,,was,013003,13.69,V-IAI-3S,ἦν,n62001001002,124892,w,ἦν,I_John,23,1John,1,1,6,wg,,,cl,S-VC-P,,,,,,4,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,third,imperfect,active,indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1JN 1:1!3, ,prep,,ἀπό,ἀπ’,575,,,,from,067006,67.131,PREP,ἀπ’,n62001001003,124893,w,ἀπ’,I_John,23,1John,1,1,7,wg,,,pp,PrepNp,p,,,,,5,wg,,,cl,S-VC-P,,,,,,4,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1JN 1:1!4,",",noun,common,ἀρχή,ἀρχῆς,746,singular,feminine,genitive,[the] beginning,067003,67.65,N-GSF,"ἀρχῆς,",n62001001004,124894,w,ἀρχῆς,I_John,23,1John,1,1,7,wg,,,pp,PrepNp,p,,,,,5,wg,,,cl,S-VC-P,,,,,,4,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,1JN 1:1!5, ,pron,relative,ὅς,ὅ,3739,singular,neuter,accusative,that which,,,R-ASN,ὃ,n62001001005,124895,w,ὃ,I_John,23,1John,1,1,6,wg,,,cl,O-V,,,,,,6,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,1JN 1:1!6,",",verb,,ἀκούω,ἀκηκόαμεν,191,plural,,,we have heard,024002,24.52,V-2RAI-1P-ATT,"ἀκηκόαμεν,",n62001001006,124896,w,ἀκηκόαμεν,I_John,23,1John,1,1,6,wg,,,cl,O-V,,,,,,6,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,first,perfect,active,indicative,,,,,,,,,,,,A0:n62002001002;n62001001011 A1:n62001001005,n62002001002 n62001001011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,1JN 1:1!7, ,pron,relative,ὅς,ὅ,3739,singular,neuter,accusative,that which,,,R-ASN,ὃ,n62001001007,124897,w,ὃ,I_John,23,1John,1,1,6,wg,,,cl,O-V-ADV,,,,,,7,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,1JN 1:1!8, ,verb,,ὁράω,ἑωράκαμεν,3708,plural,,,we have seen,024001,24.1,V-RAI-1P-ATT,ἑωράκαμεν,n62001001008,124898,w,ἑωράκαμεν,I_John,23,1John,1,1,6,wg,,,cl,O-V-ADV,,,,,,7,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,first,perfect,active,indicative,,,,,,,,,,,,A0:n62002001002;n62001001011 A1:n62001001007,n62002001002 n62001001011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1JN 1:1!9, ,det,,ὁ,τοῖς,3588,plural,masculine,dative,with the,092004,92.24,T-DPM,τοῖς,n62001001009,124899,w,τοῖς,I_John,23,1John,1,1,7,wg,,,np,DetNP,adv,,,,,8,wg,,,cl,O-V-ADV,,,,,,7,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1JN 1:1!10, ,noun,common,ὀφθαλμός,ὀφθαλμοῖς,3788,plural,masculine,dative,eyes,008002,8.23,N-DPM,ὀφθαλμοῖς,n62001001010,124900,w,ὀφθαλμοῖς,I_John,23,1John,1,1,8,wg,,,np,NPofNP,,,,,,9,wg,,,np,DetNP,adv,,,,,8,wg,,,cl,O-V-ADV,,,,,,7,wg,group,,,NpNpNpNp,s,,,,,3,wg,,,cl,S-P,,Verbless,,,,2,wg,,,,,,,,,,1,,,,,sentence,,,,,,,,,1,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
