ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,degree,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,type,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,referent,role,person,tense,voice,mood,frame,discontinuous,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,subjref,junction
2JN 1:1!1, ,det,ὁ,Ὁ,3588,singular,masculine,nominative,The,092004,92.24,T-NSM,Ὁ,n63001001001,127027,w,Ὁ,II_John,24,2John,1,1,6,wg,,,np,DetAdj,s,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!2, ,adj,πρεσβύτερος,πρεσβύτερος,4245,singular,masculine,nominative,elder,053009,53.77,A-NSM-C,πρεσβύτερος,n63001001002,127028,w,πρεσβύτερος,II_John,24,2John,1,1,6,wg,,,np,DetAdj,s,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,comparative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!3, ,adj,ἐκλεκτός,ἐκλεκτῇ,1588,singular,feminine,dative,To [the] elect,030006,30.93,A-DSF,ἐκλεκτῇ,n63001001003,127029,w,ἐκλεκτῇ,II_John,24,2John,1,1,8,wg,,,np,AdjpNp,,,,,,7,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!4, ,noun,κυρία,κυρίᾳ,2959,singular,feminine,dative,lady,087003,87.54,N-DSF,κυρίᾳ,n63001001004,127030,w,κυρίᾳ,II_John,24,2John,1,1,8,wg,,,np,AdjpNp,,,,,,7,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!5, ,conj,καί,καί,2532,,,,and,,,CONJ,καὶ,n63001001005,127031,w,καὶ,II_John,24,2John,1,1,8,wg,group,,,,,,,,,8,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!6, ,det,ὁ,τοῖς,3588,plural,neuter,dative,the,092004,92.24,T-DPN,τοῖς,n63001001006,127032,w,τοῖς,II_John,24,2John,1,1,9,wg,,,np,DetNP,,,,,,9,wg,group,,,,,,,,,8,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!7, ,noun,τέκνον,τέκνοις,5043,plural,neuter,dative,children,010002,10.36,N-DPN,τέκνοις,n63001001007,127033,w,τέκνοις,II_John,24,2John,1,1,10,wg,,,np,NPofNP,,,,,,10,wg,,,np,DetNP,,,,,,9,wg,group,,,,,,,,,8,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,common,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!8,",",pron,αὐτός,αὐτῆς,846,singular,feminine,genitive,of her,,,P-GSF,"αὐτῆς,",n63001001008,127034,w,αὐτῆς,II_John,24,2John,1,1,10,wg,,,np,NPofNP,,,,,,10,wg,,,np,DetNP,,,,,,9,wg,group,,,,,,,,,8,wg,,,,NpaNp,,,,,,6,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,personal,sentence,,,,,,,,,1,,book,,,,,,,,,,,n63001001004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!9, ,pron,ὅς,οὕς,3739,plural,masculine,accusative,whom,,,R-APM,οὓς,n63001001009,127035,w,οὓς,II_John,24,2John,1,1,7,wg,,,cl,O-V-ADV-S-ADV,,,,apposition,,11,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,relative,,,,,,,,,,,,,,,,,,,,,,,n63001001004 n63001001007,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!11, ,verb,ἀγαπάω,ἀγαπῶ,25,singular,,,love,025003,25.43,V-PAI-1S,ἀγαπῶ,n63001001011,127036,w,ἀγαπῶ,II_John,24,2John,1,1,7,wg,,,cl,O-V-ADV-S-ADV,,,,apposition,,11,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,first,present,active,indicative,A1:n63001001009 A0:n63001001010;n63001001015;n63001001016;n63001001022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!12, ,prep,ἐν,ἐν,1722,,,,in,070,70.4,PREP,ἐν,n63001001012,127037,w,ἐν,II_John,24,2John,1,1,8,wg,,,pp,PrepNp,adv,,,,,12,wg,,,cl,O-V-ADV-S-ADV,,,,apposition,,11,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2JN 1:1!13,",",noun,ἀλήθεια,ἀληθείᾳ,225,singular,feminine,dative,truth,070,70.4,N-DSF,"ἀληθείᾳ,",n63001001013,127038,w,ἀληθείᾳ,II_John,24,2John,1,1,8,wg,,,pp,PrepNp,adv,,,,,12,wg,,,cl,O-V-ADV-S-ADV,,,,apposition,,11,wg,apposition,,np,NP-CL,io,,,,,5,wg,,,cl,S-IO,,VerbElided,,,,3,wg,,,,CLaCL,,,,,,2,wg,,,,,,,,,,1,,sentence,,,,,,,,,1,,book,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
