ref,after,class,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,degree,type,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,role,referent,person,tense,voice,mood,frame,subjref,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,discontinuous,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,junction
3JN 1:1!1, ,det,ὁ,Ὁ,3588,singular,masculine,nominative,The,092004,92.24,T-NSM,Ὁ,n64001001001,127272,w,Ὁ,III_John,25,3John,1,1,5,wg,,,np,DetAdj,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!2, ,adj,πρεσβύτερος,πρεσβύτερος,4245,singular,masculine,nominative,elder,053009,53.77,A-NSM-C,πρεσβύτερος,n64001001002,127273,w,πρεσβύτερος,III_John,25,3John,1,1,5,wg,,,np,DetAdj,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,comparative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!3, ,noun,Γάϊος,Γαΐῳ,1050,singular,masculine,dative,To Gaius,093001,93.83d,N-DSM,Γαΐῳ,n64001001003,127274,w,Γαΐῳ,III_John,25,3John,1,1,6,wg,,,np,NPDetAdj,,,,,,5,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,proper,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!4, ,det,ὁ,τῷ,3588,singular,masculine,dative,the,092004,92.24,T-DSM,τῷ,n64001001004,127275,w,τῷ,III_John,25,3John,1,1,7,wg,,,np,DetAdj,,,,,,6,wg,,,np,NPDetAdj,,,,,,5,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!5,",",adj,ἀγαπητός,ἀγαπητῷ,27,singular,masculine,dative,beloved,025003,25.45,A-DSM,"ἀγαπητῷ,",n64001001005,127276,w,ἀγαπητῷ,III_John,25,3John,1,1,7,wg,,,np,DetAdj,,,,,,6,wg,,,np,NPDetAdj,,,,,,5,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!6, ,pron,ὅς,ὅν,3739,singular,masculine,accusative,whom,,,R-ASM,ὃν,n64001001006,127277,w,ὃν,III_John,25,3John,1,1,6,wg,,,cl,O-S-V-ADV,,,,apposition,,7,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,relative,book,,,,,,,,,,,,,,,,,,,,,,o,n64001001003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!7, ,pron,ἐγώ,ἐγώ,1473,singular,,nominative,I,092001,92.1,P-1NS,ἐγὼ,n64001001007,127278,w,ἐγὼ,III_John,25,3John,1,1,6,wg,,,cl,O-S-V-ADV,,,,apposition,,7,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,personal,book,,,,,,,,,,,,,,,,,,,,,,s,n64001001002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!8, ,verb,ἀγαπάω,ἀγαπῶ,25,singular,,,love,025003,25.43,V-PAI-1S,ἀγαπῶ,n64001001008,127279,w,ἀγαπῶ,III_John,25,3John,1,1,6,wg,,,cl,O-S-V-ADV,,,,apposition,,7,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,first,present,active,indicative,A1:n64001001006 A0:n64001001007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!9, ,prep,ἐν,ἐν,1722,,,,in,070,70.4,PREP,ἐν,n64001001009,127280,w,ἐν,III_John,25,3John,1,1,7,wg,,,pp,PrepNp,adv,,,,,8,wg,,,cl,O-S-V-ADV,,,,apposition,,7,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:1!10,.,noun,ἀλήθεια,ἀληθείᾳ,225,singular,feminine,dative,truth,070,70.4,N-DSF,ἀληθείᾳ.,n64001001010,127281,w,ἀληθείᾳ,III_John,25,3John,1,1,7,wg,,,pp,PrepNp,adv,,,,,8,wg,,,cl,O-S-V-ADV,,,,apposition,,7,wg,apposition,,np,NP-CL,io,,,,,4,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,common,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!1,",",adj,ἀγαπητός,Ἀγαπητέ,27,singular,masculine,vocative,Beloved,025003,25.45,A-VSM,"Ἀγαπητέ,",n64001002001,127282,w,Ἀγαπητέ,III_John,25,3John,1,2,5,wg,,,,Np2CL,,Minor,,,,11,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!2, ,prep,περί,περί,4012,,,,concerning,089004,89.6,PREP,περὶ,n64001002002,127283,w,περὶ,III_John,25,3John,1,2,5,wg,,,pp,PrepNp,adv,,,,,12,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!3, ,adj,πᾶς,πάντων,3956,plural,neuter,genitive,all things,059003,59.23,A-GPN,πάντων,n64001002003,127284,w,πάντων,III_John,25,3John,1,2,5,wg,,,pp,PrepNp,adv,,,,,12,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!4, ,verb,εὔχομαι,εὔχομαι,2172,singular,,,I pray,025001 033013,25.6 33.178,V-PNI-1S,εὔχομαί,n64001002004,127285,w,εὔχομαί,III_John,25,3John,1,2,4,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,first,present,middlepassive,indicative,A0:n64001001002 A1:n64001002006;n64001002008,n64001001002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!5, ,pron,σύ,σε,4771,singular,,accusative,you,,,P-2AS,σε,n64001002005,127286,w,σε,III_John,25,3John,1,2,5,wg,,,cl,S-V,o,,,,,13,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,personal,,,,,,,,,,,,,,,,,,,,,,,s,n64001002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!6, ,verb,εὐοδόω,εὐοδοῦσθαι,2137,,,,to prosper,022007,22.47,V-PPN,εὐοδοῦσθαι,n64001002006,127287,w,εὐοδοῦσθαι,III_John,25,3John,1,2,6,wg,,,,Conj2VP,v,,,,,14,wg,,,cl,S-V,o,,,,,13,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,present,passive,infinitive,A0:n64001002005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!7, ,conj,καί,καί,2532,,,,and,,,CONJ,καὶ,n64001002007,127288,w,καὶ,III_John,25,3John,1,2,7,wg,group,,,,,,,,,15,wg,,,,Conj2VP,v,,,,,14,wg,,,cl,S-V,o,,,,,13,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,,,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!8,",",verb,ὑγιαίνω,ὑγιαίνειν,5198,,,,to be in good health,023008,23.129,V-PAN,"ὑγιαίνειν,",n64001002008,127289,w,ὑγιαίνειν,III_John,25,3John,1,2,7,wg,group,,,,,,,,,15,wg,,,,Conj2VP,v,,,,,14,wg,,,cl,S-V,o,,,,,13,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,,,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,present,active,infinitive,A0:n64001002005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!9, ,conj,καθώς,καθώς,2531,,,,just as,078005,78.53,ADV,καθὼς,n64001002009,127290,w,καθὼς,III_John,25,3John,1,2,5,wg,,,,sub-CL,adv,,,,,16,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!10, ,verb,εὐοδόω,εὐοδοῦται,2137,singular,,,prospers,022007,22.47,V-PPI-3S,εὐοδοῦταί,n64001002010,127291,w,εὐοδοῦταί,III_John,25,3John,1,2,6,wg,,,cl,V-S,,,,,,17,wg,,,,sub-CL,adv,,,,,16,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,,,book,,,,,,,,,,,,,,,,,,,,,,v,,third,present,passive,indicative,A0:n64001002013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!11, ,pron,σύ,σου,4771,singular,,genitive,your,,,P-2GS,σου,n64001002011,127292,w,σου,III_John,25,3John,1,2,7,wg,,,np,ofNPNP,s,,,,,18,wg,,,cl,V-S,,,,,,17,wg,,,,sub-CL,adv,,,,,16,wg,,,cl,,,,,,,10,wg,,,,,,,,,,9,,personal,sentence,,,,,,,,,2,,book,,,,,,,,,,,,n64001002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!12, ,det,ὁ,ἡ,3588,singular,feminine,nominative,-,092004,92.24,T-NSF,ἡ,n64001002012,127293,w,ἡ,III_John,25,3John,1,2,8,wg,,,np,DetNP,,,,,,19,wg,,,np,ofNPNP,s,,,,,18,wg,,,cl,V-S,,,,,,17,wg,,,,sub-CL,adv,,,,,16,wg,,,cl,,,,,,,10,,,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:2!13,.,noun,ψυχή,ψυχή,5590,singular,feminine,nominative,soul,026,26.4,N-NSF,ψυχή.,n64001002013,127294,w,ψυχή,III_John,25,3John,1,2,8,wg,,,np,DetNP,,,,,,19,wg,,,np,ofNPNP,s,,,,,18,wg,,,cl,V-S,,,,,,17,wg,,,,sub-CL,adv,,,,,16,wg,,,cl,,,,,,,10,,common,wg,,,,,,,,,,9,sentence,,,,,,,,,2,,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JN 1:3!2, ,conj,γάρ,γάρ,1063,,,,for,089007,89.23,CONJ,γὰρ,n64001003002,127295,w,γὰρ,III_John,25,3John,1,3,4,wg,,,,Conj-CL,,,,,,21,wg,,,,,,,,,,20,sentence,,,,,,,,,3,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
