ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,junction,discontinuous,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,role,tense,voice,mood,frame,subjref,referent,person,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,degree
JUD 1:1!1, ,noun,proper,Ἰούδας,Ἰούδας,2455,singular,masculine,nominative,Jude,093001,93.173c,N-NSM,Ἰούδας,n65001001001,127491,w,Ἰούδας,Jude,26,Jude,1,1,5,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!2, ,noun,proper,Ἰησοῦς,Ἰησοῦ,2424,singular,masculine,genitive,of Jesus,093001,93.169a,N-GSM,Ἰησοῦ,n65001001002,127492,w,Ἰησοῦ,Jude,26,Jude,1,1,8,wg,apposition,,np,Np-Appos,,,,,,6,wg,,,np,ofNPNP,,,,,,5,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!3, ,noun,proper,Χριστός,Χριστοῦ,5547,singular,masculine,genitive,Christ,093001,93.387,N-GSM,Χριστοῦ,n65001001003,127493,w,Χριστοῦ,Jude,26,Jude,1,1,8,wg,apposition,,np,Np-Appos,,,,,,6,wg,,,np,ofNPNP,,,,,,5,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,apposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!4,",",noun,common,δοῦλος (II),δοῦλος,1401,singular,masculine,nominative,servant,087005,87.76,N-NSM,"δοῦλος,",n65001001004,127494,w,δοῦλος,Jude,26,Jude,1,1,7,wg,,,np,ofNPNP,,,,,,5,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!6, ,conj,,δέ,δέ,1161,,,,then,,,CONJ,δὲ,n65001001006,127495,w,δὲ,Jude,26,Jude,1,1,7,wg,group,,,,,,,,,7,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!5, ,noun,common,ἀδελφός,ἀδελφός,80,singular,masculine,nominative,brother,010003,10.49,N-NSM,ἀδελφὸς,n65001001005,127496,w,ἀδελφὸς,Jude,26,Jude,1,1,8,wg,,,np,NPofNP,,,,,,8,wg,group,,,,,,,,,7,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!7,",",noun,proper,Ἰάκωβος,Ἰακώβου,2385,singular,masculine,genitive,of James,093001,93.158b,N-GSM,"Ἰακώβου,",n65001001007,127497,w,Ἰακώβου,Jude,26,Jude,1,1,8,wg,,,np,NPofNP,,,,,,8,wg,group,,,,,,,,,7,wg,,,,NpaNp,,,,apposition,,4,wg,apposition,,np,Np-Appos,s,,,,,3,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!8, ,det,,ὁ,τοῖς,3588,plural,masculine,dative,To those,092004,92.24,T-DPM,τοῖς,n65001001008,127498,w,τοῖς,Jude,26,Jude,1,1,5,wg,,,np,DetNP,io,,,,,9,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!9, ,prep,,ἐν,ἐν,1722,,,,in,,,PREP,ἐν,n65001001009,127499,w,ἐν,Jude,26,Jude,1,1,9,wg,,,pp,PrepNp,adv,,,,,13,wg,,,cl,ADV-V,,,,,,12,wg,,,,CLaCL,,,,,,11,wg,,,np,AdjpNp,,,,,,10,wg,,,np,DetNP,io,,,,,9,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,sentence,,,,,,,,,1,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUD 1:1!10, ,noun,common,θεός,Θεῷ,2316,singular,masculine,dative,God,012001,12.1,N-DSM,Θεῷ,n65001001010,127500,w,Θεῷ,Jude,26,Jude,1,1,10,wg,apposition,,np,Np-Appos,,,,,,14,wg,,,pp,PrepNp,adv,,,,,13,wg,,,cl,ADV-V,,,,,,12,wg,,,,CLaCL,,,,,,11,wg,,,np,AdjpNp,,,,,,10,wg,,,np,DetNP,io,,,,,9,wg,,,cl,S-IO,,VerbElided,,,,2,wg,,,,,,,,,,1,,,sentence,,,,,,,,,1,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
